category,sub_category,packaging_material,strength,biodegradability_score,co2_emission_score,recyclability_percent,weight_capacity_kg
Electronics,Drone,Polycarbonate (PC),high,2,91,19,66.91
Electronics,Drone,Paperboard,medium,79,44,83,26.32
Electronics,Drone,Hempcrete Molded,medium,97,0,3,36.99
Electronics,Drone,Double-Wall Corrugated,high,86,50,93,37.49
Electronics,Drone,Corrugated Cardboard,high,85,39,87,3.37
Electronics,Drone,Recycled PET (rPET),medium,10,50,92,71.55
Electronics,Drone,Honeycomb Paperboard,high,91,37,97,56.1
Electronics,Drone,ABS Plastic,high,1,95,12,41.5
Electronics,Drone,VCI Paper (Anti-Corrosion),medium,88,54,80,63.99
Electronics,Drone,PET,medium,18,86,76,14.4
Electronics,VR Headset,Mushroom (Mycelium),medium,97,4,0,41.8
Electronics,VR Headset,Bio-Polycarbonate,high,3,57,28,69.76
Electronics,VR Headset,Nylon (PA),high,2,83,33,74.26
Electronics,VR Headset,Polycarbonate (PC),high,0,93,19,22.22
Electronics,VR Headset,Paperboard,medium,78,42,82,10.33
Electronics,VR Headset,Hempcrete Molded,medium,100,0,1,22.31
Electronics,VR Headset,Double-Wall Corrugated,high,83,49,90,65.04
Electronics,VR Headset,Corrugated Cardboard,high,86,40,88,0.49
Electronics,VR Headset,Recycled PET (rPET),medium,10,51,90,48.78
Electronics,VR Headset,Honeycomb Paperboard,high,92,37,98,66.51
Electronics,VR Headset,ABS Plastic,high,3,94,13,7.14
Electronics,VR Headset,VCI Paper (Anti-Corrosion),medium,88,58,82,24.68
Electronics,VR Headset,PET,medium,13,88,77,21.56
Electronics,Game Console,Mushroom (Mycelium),medium,98,3,2,18.84
Electronics,Game Console,Bio-Polycarbonate,high,0,57,33,27.08
Electronics,Game Console,Nylon (PA),high,0,86,27,62.11
Electronics,Game Console,Polycarbonate (PC),high,0,90,20,46.75
Electronics,Game Console,Paperboard,medium,80,47,86,14.66
Electronics,Game Console,Hempcrete Molded,medium,100,0,0,47.84
Electronics,Game Console,Double-Wall Corrugated,high,85,51,90,38.77
Electronics,Game Console,Corrugated Cardboard,high,87,39,87,29.97
Electronics,Game Console,Recycled PET (rPET),medium,9,50,88,5.98
Electronics,Game Console,Honeycomb Paperboard,high,91,33,99,6.16
Electronics,Game Console,ABS Plastic,high,3,91,15,30.73
Electronics,Game Console,VCI Paper (Anti-Corrosion),medium,83,53,77,33.23
Electronics,Game Console,PET,medium,17,87,72,49.55
Electronics,Graphics Card,Mushroom (Mycelium),medium,100,2,1,55.37
Electronics,Graphics Card,Bio-Polycarbonate,high,3,56,32,54.78
Electronics,Graphics Card,Nylon (PA),high,0,85,28,26.76
Electronics,Graphics Card,Polycarbonate (PC),high,1,92,17,25.71
Electronics,Graphics Card,Paperboard,medium,80,46,88,3.15
Electronics,Graphics Card,Hempcrete Molded,medium,100,0,0,13.23
Electronics,Graphics Card,Double-Wall Corrugated,high,83,48,93,35.56
Electronics,Graphics Card,Corrugated Cardboard,high,82,42,92,48.77
Electronics,Graphics Card,Recycled PET (rPET),medium,8,48,92,47.67
Electronics,Graphics Card,Honeycomb Paperboard,high,88,35,100,1.25
Electronics,Graphics Card,ABS Plastic,high,0,92,12,40.5
Electronics,Graphics Card,VCI Paper (Anti-Corrosion),medium,86,55,83,70.82
Electronics,Graphics Card,PET,medium,15,84,75,43.2
Audio Equipment,Headphones,Bio-PP,medium,3,74,50,9.72
Audio Equipment,Headphones,Nylon (PA),high,1,84,29,70.62
Audio Equipment,Headphones,Molded Pulp,medium,97,22,92,48.9
Audio Equipment,Headphones,Recycled Polypropylene (rPP),medium,4,45,86,5.3
Audio Equipment,Headphones,Chrome-Plated Steel,high,3,87,88,3.02
Audio Equipment,Headphones,Paperboard,medium,78,44,88,5.43
Audio Equipment,Headphones,Recycled Nylon (rNylon),high,1,38,78,1.84
Audio Equipment,Headphones,EVA Foam,medium,0,83,7,37.25
Audio Equipment,Headphones,Recycled PET (rPET),medium,8,51,88,47.21
Audio Equipment,Headphones,Kraft Paper,low,96,25,87,60.28
Audio Equipment,Headphones,ABS Plastic,high,0,94,13,31.82
Audio Equipment,Headphones,PET,medium,14,82,74,31.01
Audio Equipment,Speakers,Bio-PP,medium,3,72,53,43.58
Audio Equipment,Speakers,Nylon (PA),high,3,87,31,17.97
Audio Equipment,Speakers,Molded Pulp,medium,100,26,98,56.62
Audio Equipment,Speakers,Recycled Polypropylene (rPP),medium,2,47,82,40.12
Audio Equipment,Speakers,Chrome-Plated Steel,high,0,82,92,22.39
Audio Equipment,Speakers,Paperboard,medium,79,42,85,0.91
Audio Equipment,Speakers,Recycled Nylon (rNylon),high,0,39,80,26.68
Audio Equipment,Speakers,EVA Foam,medium,0,86,13,71.3
Audio Equipment,Speakers,Recycled PET (rPET),medium,9,48,93,6.34
Audio Equipment,Speakers,Kraft Paper,low,96,24,90,24.72
Audio Equipment,Speakers,ABS Plastic,high,0,95,15,70.97
Audio Equipment,Speakers,PET,medium,12,88,76,69.83
Audio Equipment,Earphones,Bio-PP,medium,3,78,52,41.26
Audio Equipment,Earphones,Nylon (PA),high,1,84,33,40.99
Audio Equipment,Earphones,Molded Pulp,medium,97,23,98,10.81
Audio Equipment,Earphones,Recycled Polypropylene (rPP),medium,3,43,85,65.03
Audio Equipment,Earphones,Chrome-Plated Steel,high,2,88,92,52.6
Audio Equipment,Earphones,Paperboard,medium,78,42,83,66.9
Audio Equipment,Earphones,Recycled Nylon (rNylon),high,0,41,81,6.45
Audio Equipment,Earphones,EVA Foam,medium,0,85,7,66.04
Audio Equipment,Earphones,Recycled PET (rPET),medium,7,53,93,73.95
Audio Equipment,Earphones,Kraft Paper,low,95,25,92,53.14
Audio Equipment,Earphones,ABS Plastic,high,0,95,15,41.92
Audio Equipment,Earphones,PET,medium,14,83,73,24.84
Audio Equipment,Microphones,Bio-PP,medium,7,74,51,0.95
Audio Equipment,Microphones,Nylon (PA),high,0,87,28,55.6
Audio Equipment,Microphones,Molded Pulp,medium,99,28,92,55.84
Audio Equipment,Microphones,Recycled Polypropylene (rPP),medium,4,46,85,72.17
Audio Equipment,Microphones,Chrome-Plated Steel,high,3,85,87,6.31
Audio Equipment,Microphones,Paperboard,medium,77,47,86,72.25
Audio Equipment,Microphones,Recycled Nylon (rNylon),high,0,41,81,3.33
Audio Equipment,Microphones,EVA Foam,medium,1,86,11,74.47
Audio Equipment,Microphones,Recycled PET (rPET),medium,11,50,89,52.19
Audio Equipment,Microphones,Kraft Paper,low,92,23,93,47.24
Audio Equipment,Microphones,ABS Plastic,high,2,97,18,74.69
Audio Equipment,Microphones,PET,medium,17,87,74,67.6
Audio Equipment,Soundbars,Bio-PP,medium,2,74,50,71.91
Audio Equipment,Soundbars,Nylon (PA),high,2,85,30,25.24
Audio Equipment,Soundbars,Molded Pulp,medium,96,25,95,34.83
Audio Equipment,Soundbars,Recycled Polypropylene (rPP),medium,3,45,83,20.02
Audio Equipment,Soundbars,Chrome-Plated Steel,high,1,82,90,73.97
Audio Equipment,Soundbars,Paperboard,medium,82,48,82,21.05
Audio Equipment,Soundbars,Recycled Nylon (rNylon),high,1,40,81,51.39
Audio Equipment,Soundbars,EVA Foam,medium,1,85,12,5.81
Audio Equipment,Soundbars,Recycled PET (rPET),medium,12,48,89,54.46
Audio Equipment,Soundbars,Kraft Paper,low,98,22,88,6.3
Audio Equipment,Soundbars,ABS Plastic,high,2,92,14,3.49
Audio Equipment,Soundbars,PET,medium,18,82,77,60.81
Audio Equipment,Amps,Bio-PP,medium,8,72,49,44.6
Audio Equipment,Amps,Nylon (PA),high,3,82,32,62.2
Audio Equipment,Amps,Molded Pulp,medium,95,26,92,35.21
Audio Equipment,Amps,Recycled Polypropylene (rPP),medium,4,48,82,1.12
Audio Equipment,Amps,Chrome-Plated Steel,high,3,87,90,60.99
Audio Equipment,Amps,Paperboard,medium,83,46,87,68.5
Audio Equipment,Amps,Recycled Nylon (rNylon),high,3,41,81,70.86
Audio Equipment,Amps,EVA Foam,medium,0,83,7,18.16
Audio Equipment,Amps,Recycled PET (rPET),medium,7,52,87,71.56
Audio Equipment,Amps,Kraft Paper,low,96,25,92,65.88
Audio Equipment,Amps,ABS Plastic,high,0,94,18,8.61
Audio Equipment,Amps,PET,medium,13,83,73,35.77
Audio Equipment,Cables,Bio-PP,medium,4,74,48,63.93
Audio Equipment,Cables,Nylon (PA),high,2,85,31,6.72
Audio Equipment,Cables,Molded Pulp,medium,97,22,92,10.14
Audio Equipment,Cables,Recycled Polypropylene (rPP),medium,8,48,88,58.87
Audio Equipment,Cables,Chrome-Plated Steel,high,2,83,89,16.05
Audio Equipment,Cables,Paperboard,medium,82,45,83,26.36
Audio Equipment,Cables,Recycled Nylon (rNylon),high,0,38,82,41.66
Audio Equipment,Cables,EVA Foam,medium,0,87,8,26.18
Audio Equipment,Cables,Recycled PET (rPET),medium,12,47,93,29.8
Audio Equipment,Cables,Kraft Paper,low,98,23,89,52.35
Audio Equipment,Cables,ABS Plastic,high,1,94,13,69.5
Audio Equipment,Cables,PET,medium,13,82,75,5.06
Audio Equipment,Turntables,Bio-PP,medium,6,73,52,37
Audio Equipment,Turntables,Nylon (PA),high,1,87,29,43.52
Audio Equipment,Turntables,Molded Pulp,medium,97,24,98,9.75
Audio Equipment,Turntables,Recycled Polypropylene (rPP),medium,8,48,84,10.5
Audio Equipment,Turntables,Chrome-Plated Steel,high,0,85,87,67.27
Audio Equipment,Turntables,Paperboard,medium,79,44,86,72.99
Audio Equipment,Turntables,Recycled Nylon (rNylon),high,1,38,79,3.16
Audio Equipment,Turntables,EVA Foam,medium,1,82,10,26.14
Audio Equipment,Turntables,Recycled PET (rPET),medium,12,51,92,9.14
Audio Equipment,Turntables,Kraft Paper,low,92,25,88,67.08
Audio Equipment,Turntables,ABS Plastic,high,0,96,13,51.81
Audio Equipment,Turntables,PET,medium,12,83,72,36.14
Audio Equipment,MP3 Players,Bio-PP,medium,7,78,52,11.86
Audio Equipment,MP3 Players,Nylon (PA),high,1,82,28,65.14
Audio Equipment,MP3 Players,Molded Pulp,medium,95,24,96,73.97
Audio Equipment,MP3 Players,Recycled Polypropylene (rPP),medium,8,48,87,17.79
Audio Equipment,MP3 Players,Chrome-Plated Steel,high,0,88,92,34.74
Audio Equipment,MP3 Players,Paperboard,medium,81,43,87,11.17
Audio Equipment,MP3 Players,Recycled Nylon (rNylon),high,0,43,79,67.15
Audio Equipment,MP3 Players,EVA Foam,medium,2,83,13,2.38
Audio Equipment,MP3 Players,Recycled PET (rPET),medium,8,48,92,39.99
Audio Equipment,MP3 Players,Kraft Paper,low,98,22,93,28.36
Audio Equipment,MP3 Players,ABS Plastic,high,0,97,12,63.07
Audio Equipment,MP3 Players,PET,medium,17,83,77,9.07
Audio Equipment,Audio Interfaces,Bio-PP,medium,2,76,50,35.6
Audio Equipment,Audio Interfaces,Nylon (PA),high,0,84,27,37.43
Audio Equipment,Audio Interfaces,Molded Pulp,medium,100,25,98,55.29
Audio Equipment,Audio Interfaces,Recycled Polypropylene (rPP),medium,8,42,85,9.66
Audio Equipment,Audio Interfaces,Chrome-Plated Steel,high,0,86,92,67.48
Audio Equipment,Audio Interfaces,Paperboard,medium,78,44,84,73.99
Audio Equipment,Audio Interfaces,Recycled Nylon (rNylon),high,1,37,77,0.66
Audio Equipment,Audio Interfaces,EVA Foam,medium,1,86,12,18.52
Audio Equipment,Audio Interfaces,Recycled PET (rPET),medium,10,52,89,6.68
Audio Equipment,Audio Interfaces,Kraft Paper,low,97,28,93,63.19
Audio Equipment,Audio Interfaces,ABS Plastic,high,0,93,18,30.84
Audio Equipment,Audio Interfaces,PET,medium,15,88,77,29.9
Dry Groceries,Pasta,PHA (Bio-polyester),medium,100,29,0,0.5
Dry Groceries,Pasta,Corn Husk Paper,low,100,12,92,12.9
Dry Groceries,Pasta,PP,medium,9,82,47,53.91
Dry Groceries,Pasta,Greaseproof Paper,low,89,43,79,62.91
Dry Groceries,Pasta,Wheat Straw Board,medium,96,20,78,24.34
Dry Groceries,Pasta,Rice Straw Board,medium,94,18,77,55.24
Dry Groceries,Pasta,Bagasse (Sugarcane Pulp),medium,98,15,82,45.84
Dry Groceries,Pasta,Starch-based,low,97,31,42,11.66
Dry Groceries,Pasta,Kraft Paper,low,95,26,89,44.58
Dry Groceries,Pasta,Paper / Cardboard,medium,92,80,63,41.19
Dry Groceries,Pasta,Cellulose Film,low,98,25,0,24.24
Dry Groceries,Rice,PHA (Bio-polyester),medium,98,30,0,10.5
Dry Groceries,Rice,Corn Husk Paper,low,95,12,87,44.71
Dry Groceries,Rice,PP,medium,12,83,49,26.23
Dry Groceries,Rice,Greaseproof Paper,low,87,46,82,55.97
Dry Groceries,Rice,Wheat Straw Board,medium,93,20,81,54.84
Dry Groceries,Rice,Rice Straw Board,medium,92,16,80,28.5
Dry Groceries,Rice,Bagasse (Sugarcane Pulp),medium,95,14,85,63.15
Dry Groceries,Rice,Starch-based,low,94,27,41,15.2
Dry Groceries,Rice,Kraft Paper,low,97,24,91,14.06
Dry Groceries,Rice,Paper / Cardboard,medium,89,81,67,39.28
Dry Groceries,Rice,Cellulose Film,low,100,22,1,44.16
Dry Groceries,Cereal,PHA (Bio-polyester),medium,98,33,2,67.49
Dry Groceries,Cereal,Corn Husk Paper,low,99,17,87,56.1
Dry Groceries,Cereal,PP,medium,13,77,47,26.72
Dry Groceries,Cereal,Greaseproof Paper,low,93,48,78,40.81
Dry Groceries,Cereal,Wheat Straw Board,medium,94,21,79,32.42
Dry Groceries,Cereal,Rice Straw Board,medium,94,21,79,25.18
Dry Groceries,Cereal,Bagasse (Sugarcane Pulp),medium,98,15,88,46.54
Dry Groceries,Cereal,Starch-based,low,95,32,43,43.03
Dry Groceries,Cereal,Kraft Paper,low,96,27,87,23.45
Dry Groceries,Cereal,Paper / Cardboard,medium,91,81,68,10.82
Dry Groceries,Cereal,Cellulose Film,low,100,27,0,57.21
Dry Groceries,Flour,PHA (Bio-polyester),medium,99,28,0,7.81
Dry Groceries,Flour,Corn Husk Paper,low,99,18,93,63.5
Dry Groceries,Flour,PP,medium,10,83,51,40.54
Dry Groceries,Flour,Greaseproof Paper,low,91,48,80,54.2
Dry Groceries,Flour,Wheat Straw Board,medium,93,17,83,44.92
Dry Groceries,Flour,Rice Straw Board,medium,95,18,78,18.96
Dry Groceries,Flour,Bagasse (Sugarcane Pulp),medium,99,12,84,71.93
Dry Groceries,Flour,Starch-based,low,97,32,43,34.7
Dry Groceries,Flour,Kraft Paper,low,97,24,90,68.4
Dry Groceries,Flour,Paper / Cardboard,medium,92,80,62,19.28
Dry Groceries,Flour,Cellulose Film,low,100,24,0,7.76
Dry Groceries,Lentils,PHA (Bio-polyester),medium,100,31,1,53.07
Dry Groceries,Lentils,Corn Husk Paper,low,96,12,90,28.15
Dry Groceries,Lentils,PP,medium,7,82,49,55.26
Dry Groceries,Lentils,Greaseproof Paper,low,87,47,79,33.87
Dry Groceries,Lentils,Wheat Straw Board,medium,97,19,81,12.5
Dry Groceries,Lentils,Rice Straw Board,medium,95,20,83,69.07
Dry Groceries,Lentils,Bagasse (Sugarcane Pulp),medium,100,14,88,17.13
Dry Groceries,Lentils,Starch-based,low,98,31,43,4.2
Dry Groceries,Lentils,Kraft Paper,low,92,23,90,59.11
Dry Groceries,Lentils,Paper / Cardboard,medium,88,79,64,29.92
Dry Groceries,Lentils,Cellulose Film,low,97,23,0,69.23
Dry Groceries,Sugar,PHA (Bio-polyester),medium,100,28,0,55.34
Dry Groceries,Sugar,Corn Husk Paper,low,95,14,89,33.99
Dry Groceries,Sugar,PP,medium,9,82,47,37.43
Dry Groceries,Sugar,Greaseproof Paper,low,92,46,77,27.24
Dry Groceries,Sugar,Wheat Straw Board,medium,98,17,82,16.59
Dry Groceries,Sugar,Rice Straw Board,medium,93,19,77,13.43
Dry Groceries,Sugar,Bagasse (Sugarcane Pulp),medium,98,9,82,41.84
Dry Groceries,Sugar,Starch-based,low,97,30,43,74.77
Dry Groceries,Sugar,Kraft Paper,low,92,28,87,23.31
Dry Groceries,Sugar,Paper / Cardboard,medium,92,85,64,15.82
Dry Groceries,Sugar,Cellulose Film,low,99,27,2,14.38
Dry Groceries,Salt,PHA (Bio-polyester),medium,100,31,2,62.76
Dry Groceries,Salt,Corn Husk Paper,low,97,13,87,58.19
Dry Groceries,Salt,PP,medium,13,78,48,40.13
Dry Groceries,Salt,Greaseproof Paper,low,87,43,82,42.02
Dry Groceries,Salt,Wheat Straw Board,medium,98,18,77,25.14
Dry Groceries,Salt,Rice Straw Board,medium,98,21,79,28.06
Dry Groceries,Salt,Bagasse (Sugarcane Pulp),medium,96,11,87,39.54
Dry Groceries,Salt,Starch-based,low,92,33,43,11.8
Dry Groceries,Salt,Kraft Paper,low,93,28,91,30.66
Dry Groceries,Salt,Paper / Cardboard,medium,87,85,64,17.41
Dry Groceries,Salt,Cellulose Film,low,99,28,1,44.67
Dry Groceries,Quinoa,PHA (Bio-polyester),medium,97,33,1,13.47
Dry Groceries,Quinoa,Corn Husk Paper,low,95,15,93,54.09
Dry Groceries,Quinoa,PP,medium,9,82,52,62.28
Dry Groceries,Quinoa,Greaseproof Paper,low,90,45,81,10.67
Dry Groceries,Quinoa,Wheat Straw Board,medium,97,21,83,67.24
Dry Groceries,Quinoa,Rice Straw Board,medium,98,16,83,55.22
Dry Groceries,Quinoa,Bagasse (Sugarcane Pulp),medium,99,11,86,65.75
Dry Groceries,Quinoa,Starch-based,low,96,30,38,66.96
Dry Groceries,Quinoa,Kraft Paper,low,98,26,90,25.26
Dry Groceries,Quinoa,Paper / Cardboard,medium,93,80,64,44.31
Dry Groceries,Quinoa,Cellulose Film,low,100,25,1,25.95
Dry Groceries,Oats,PHA (Bio-polyester),medium,100,27,0,64.59
Dry Groceries,Oats,Corn Husk Paper,low,97,15,88,57.29
Dry Groceries,Oats,PP,medium,7,78,52,36.61
Dry Groceries,Oats,Greaseproof Paper,low,92,48,77,36.41
Dry Groceries,Oats,Wheat Straw Board,medium,92,20,77,40.67
Dry Groceries,Oats,Rice Straw Board,medium,96,15,83,16.43
Dry Groceries,Oats,Bagasse (Sugarcane Pulp),medium,100,11,87,73.83
Dry Groceries,Oats,Starch-based,low,93,31,41,51.87
Dry Groceries,Oats,Kraft Paper,low,96,24,92,68.58
Dry Groceries,Oats,Paper / Cardboard,medium,91,80,65,37.41
Dry Groceries,Oats,Cellulose Film,low,98,22,1,48.89
Dry Groceries,Cornmeal,PHA (Bio-polyester),medium,98,30,3,8.08
Dry Groceries,Cornmeal,Corn Husk Paper,low,100,16,89,67.51
Dry Groceries,Cornmeal,PP,medium,12,79,48,45.08
Dry Groceries,Cornmeal,Greaseproof Paper,low,87,46,83,43.04
Dry Groceries,Cornmeal,Wheat Straw Board,medium,92,16,81,28.8
Dry Groceries,Cornmeal,Rice Straw Board,medium,93,20,78,12.55
Dry Groceries,Cornmeal,Bagasse (Sugarcane Pulp),medium,97,9,84,6.87
Dry Groceries,Cornmeal,Starch-based,low,94,28,41,29.26
Dry Groceries,Cornmeal,Kraft Paper,low,94,25,87,54.14
Dry Groceries,Cornmeal,Paper / Cardboard,medium,89,84,63,29.81
Dry Groceries,Cornmeal,Cellulose Film,low,100,27,1,36.33
Snack Foods,Chips,TPS (Starch-based),low,96,75,13,19.74
Snack Foods,Chips,Coated Barrier Paper,medium,79,85,74,63.5
Snack Foods,Chips,PBAT,medium,89,53,11,25.13
Snack Foods,Chips,PP,medium,8,78,51,25.89
Snack Foods,Chips,Potato Starch Film,low,97,7,0,52.9
Snack Foods,Chips,PLA,low,88,32,63,5.79
Snack Foods,Chips,Banana Leaf Wrap,low,98,3,0,52.13
Snack Foods,Chips,Algae-based Film,low,100,7,0,7.82
Snack Foods,Chips,Seaweed Packaging,low,100,5,0,68.81
Snack Foods,Chips,Glassine Paper,low,96,37,93,51.82
Snack Foods,Chips,Cellulose Film,low,97,28,0,40.69
Snack Foods,Biscuits,TPS (Starch-based),low,97,78,11,56.95
Snack Foods,Biscuits,Coated Barrier Paper,medium,81,87,77,73.55
Snack Foods,Biscuits,PBAT,medium,88,49,12,16.67
Snack Foods,Biscuits,PP,medium,8,77,51,50.28
Snack Foods,Biscuits,Potato Starch Film,low,98,13,0,13.63
Snack Foods,Biscuits,PLA,low,91,37,58,23.53
Snack Foods,Biscuits,Banana Leaf Wrap,low,100,3,3,22.37
Snack Foods,Biscuits,Algae-based Film,low,98,4,3,59.67
Snack Foods,Biscuits,Seaweed Packaging,low,100,7,0,63.36
Snack Foods,Biscuits,Glassine Paper,low,93,39,93,48.38
Snack Foods,Biscuits,Cellulose Film,low,100,28,0,42.09
Snack Foods,Pretzels,TPS (Starch-based),low,99,73,9,52.25
Snack Foods,Pretzels,Coated Barrier Paper,medium,78,88,78,5
Snack Foods,Pretzels,PBAT,medium,93,49,12,59.33
Snack Foods,Pretzels,PP,medium,7,81,48,39.06
Snack Foods,Pretzels,Potato Starch Film,low,100,8,0,17.55
Snack Foods,Pretzels,PLA,low,93,34,58,74.28
Snack Foods,Pretzels,Banana Leaf Wrap,low,99,5,1,39.72
Snack Foods,Pretzels,Algae-based Film,low,99,4,3,0.81
Snack Foods,Pretzels,Seaweed Packaging,low,100,7,0,30.2
Snack Foods,Pretzels,Glassine Paper,low,96,40,92,43.6
Snack Foods,Pretzels,Cellulose Film,low,100,28,0,57.64
Snack Foods,Popcorn,TPS (Starch-based),low,95,78,13,39.24
Snack Foods,Popcorn,Coated Barrier Paper,medium,77,87,72,8.37
Snack Foods,Popcorn,PBAT,medium,92,54,10,22.29
Snack Foods,Popcorn,PP,medium,12,81,47,20.87
Snack Foods,Popcorn,Potato Starch Film,low,100,12,3,32.14
Snack Foods,Popcorn,PLA,low,87,32,60,16.45
Snack Foods,Popcorn,Banana Leaf Wrap,low,98,3,1,19.5
Snack Foods,Popcorn,Algae-based Film,low,100,7,3,65.95
Snack Foods,Popcorn,Seaweed Packaging,low,100,4,2,46.04
Snack Foods,Popcorn,Glassine Paper,low,92,43,95,4.97
Snack Foods,Popcorn,Cellulose Film,low,100,26,3,17.37
Snack Foods,Crackers,TPS (Starch-based),low,97,76,12,17.38
Snack Foods,Crackers,Coated Barrier Paper,medium,78,82,73,2.85
Snack Foods,Crackers,PBAT,medium,88,51,14,60.08
Snack Foods,Crackers,PP,medium,12,83,53,66.3
